region,headquarters,date_sampled,month_year,city_town,industries_sampled,report_by,primary_target_compounds,emergency_response,start1,end1,start2,end2
14,Corpus,1/15-19/03,2003-01-01,Point Comfort/Seadrift,"Union Carbide Corp., Formosa Plastics Corp.",Teri Whiteley,Air,,2003-01-15,2003-01-19,,
6,El Paso,2/16-22/03,2003-02-01,El Paso,"Juarez Wastewater Treatment Facility, Bruce Foods Corp. Commercial Metals Co., Border Steel Mills, Inc.,  Jobe Concrete Products, Chevron USA, Inc. North and South Facilities, Phelps Dodge Magnet Wire Co., T & R Chemicals, Inc., and Dal-Tile Corp.",Tom Randolph,"Carbonyls, H2S, PM10, SO2, TSP, VOC",,2003-02-16,2003-02-22,,
14,Corpus,2/1-6/03,2003-02-01,Corpus,"Citgo Refining and Chemical Company - East Refinery, Citgo Refining and Chemical Company - West Refinery, Flint Hills Resources - East Plant, Flint Hills Resources - West Plant, Elementis Chromium, Valero - East Refinery, Valero - West Refinery, Valero Javelina Gas Plant, Trigeant; Union Carbide and Dow Chemical in Seadrift;  Celanese Corp., BASF Corp., and Ticona Polymers in Bishop; and Valero Refining in Three Rivers",Tim Doty,"Carbonyls, H2S, SO2, VOC",,2003-02-01,2003-02-06,,
10,Beaumont,4/19-24/03,2003-04-01,Angelina County and Jasper County,"Abitibi Consolidated, Inc. and MeadWestvaco Corp.",Jason Ivy,"Carbonyls, H2S, SO2, TRS",,2003-04-19,2003-04-24,,
14,Corpus,5/29 - 6/1/03,2003-06-01,Victoria,Du Pont,Manuel Gonzalez,"TSP, VOC",,2003-05-29,2003-06-01,,
10,Beaumont,7/26 - 8/1/03,2003-07-01,"Beaumont/Port Arthur/Port Neches/Silsbee, Evadale, and Orange, Texas","Goodyear Chemical, Exxon Mobil Oil Company, Olin, Arch Chemicals, and South Hampton Refining industrial complexes.  Port Arthur targeted industries include Premcor, Motiva, Chevron Chemical, Huntsman, Great Lakes Carbon, Atofina, and Fina/BASF, while Port Neches industries include Huntsman C4 Facility, Ameripol Synpol, and Huntsman Oxide and Olefin Facility.and",Tim Doty,"Carbonyl, H2S, SO2, VOC",,2003-07-26,2003-08-01,,
5,Tyler,6/22-24 & 8/20-21/03,2003-08-01,Paris,Flex-O-Lite Inc.,Gary Wood,Air,,2003-06-22,2003-06-24,2003-08-20,2003-08-21
4,Arlington,8/28-29 & 9/29-30/03,2003-09-01,Ellis County,Owens Corning Corporation,Chris Clayton,"Carbonyls, PM10, TSP, VOC",,2003-08-28,2003-08-29,2003-09-29,2003-09-30
3,Abilene,12/8-12/03,2003-10-01,Snyder,Kinder Morgan Carbon Dioxide Treatment Plant,Jason Ivy,"CO2, H2S, SO2, TRS, VOC",,2003-12-08,2003-12-12,,
13,San Antonio,10/24/2003,2003-10-01,Bexar County,Elmendorf Industrial Area,Ed Ragsdale,"PUF, VOC",,2003-10-24,2003-10-24,,
14,Corpus,11/15-20/03,2003-11-01,Corpus,"Citgo Refining and Chemical Company - East Refining, Citgo Refining and Chemical Company - West Refining, Flint Hills Resources - East Plant, Flint Hills Resources - West Plant, Elementis Chromium, Williams Terminal Facility, Valero Refining Co. - East Refinery, Valero Refining Co. - West Refinery, Trigeant Petroleum, City of Corpus Christi Broadway Wastewater Treatment Plant, Equistar Chemicals, Degussa Corporation, Valero Javelina Gas Plant",Tim Doty,"H2S, PAH, RTGC,  SO2, TRS",,2003-11-15,2003-11-20,,
12,Houston,1/25-31/04,2004-01-01,Houston,"Shell Oil Co., Lubrizol Corp, Rohm and Haas, OxyViny Deer Park, OxyVinyl Battleground, Vopak, Inc. Railcar Cleaning, Texas Molecular, Inc., Safety Kleen, Intercontinental Terminals, Inc., Atofina Corp., BP Solvay Polethylene, Millennium Petrochemicals, Equistar Chemical Ethylene Tidal Rd area, Exxon/Mobil Baytown, Exxon/Mobil, Exxon/Mobil Chemical and Olefins, Conoco, Enterprise Products LP, Koch Hydrocarbons, Inc., Exxon/Mobil Corp. Polyethylene-Mont Belvieu, Chevron Phillips Cedar Bayou, Equistar-Channelview, KMCO, Atofina Corp. Perioxides (Crosby), Reichhold Chemical Inc., Kinder Morgan Galena Park, Slay, Inc., Duco, Inc., Haltermann LLC, Exxon Pipeline 00580 station, Chevron Products Galena Park Terminal, Magellan Galena Park, Glendale Boat Works, Dixie Carriers, Southwest Shipyard",Teri Whiteley,"Canister, Carbonyl, RTGC",,2004-01-25,2004-01-31,,
6,El Paso,2/20-26/04,2004-02-01,El Paso,"Border Steel Mills, Inc., Commercial Metals, and Newell Recycling Co., Western Refining Co. (North and South), Phelps Dodge Magnet Wire Co., Jobe Concrete Products, Inc., Bruce Foods Corp., W. Silver Co., and T & R Chemicals, Inc.",Tom Randolph,"CO, PM10, TSP, VOC",,2004-02-20,2004-02-26,,
4,Arlington,3/8-11/04,2004-03-01,"Frisco, Collin County","Redi-Mix, Inc. and Star Concrete, Inc.",Ed Ragsdale,"PM10, TSP",,2004-03-08,2004-03-11,,
4,Arlington,3/11 & 4/13-15/04,2004-04-01,"Frisco, Colling County","APAC-Texas, Inc.",Ed Ragsdale,"Carbonyl, TSP, VOC",,2004-03-11,2004-03-11,2004-04-13,2004-04-15
10,Beaumont,3/27-4/2/04,2004-04-01,"Evadale, Beaumont, Port Arthur, Port Neches, Winnie, Nederland, and Orange","MeadWestvaco Paper Mill, Mead Westvaco A1 Wastewater Basin, Mansfield Ferry Road, Huntsman Petrochemical Corp. Premcor, Motiva, Chevron Phillips, Huntsman C4 Facility, Huntsman Oxides and Olefins Facility, Goodyear Tire and Rubber Co., Exxon-Mobil Oil Co., Peak Sulfur, Inc., BASF Agricultural Products, Huntsman Petrochemical Corp., Chevron-Phillips Polyethylene Facility, Atofina, BASF, Huntsman Joint Wastewater Treatment Plant, ISP Elastomers, Merisol LLC Sunoco Terminal DuPont Sabine River Works and Bayer Orange, Equistar PD Glycol, BOC GasesGreat Lakes Carbon Corp., Firestone Synthetic Rubber and Latex Co, Printpack, Solvay Solexis Fluoropolymer, and Honeywell Specialty Chemicals",Tim Doty,"Canister, Carbonyl, H2S, PAH, RTGC, SO2",,2004-03-27,2004-04-02,,
4,Arlington,6/23/2004,2004-06-01,Millsap,Vulcan Materials Co.,Jason Ivy,"PAH, PUF",,2004-06-23,2004-06-23,,
14,Corpus,6/19-22/04,2004-06-01,Victoria,Du Pont / Invista SARL,Manuel Gonzalez,"Canister, RTGC",,2004-06-19,2004-06-22,,
12,Houston,7/17-23/04,2004-07-01,Houston,"Atofina Corp., BP Solvay Polyethylene, Equistar Chemical Corp. LaPorte, Intercontinental Terminals, Inc., Lubrizol Corp. Deer Park, Metton America, Millennium Petrochemicals, OxyVinyl-Deer Park, OxyVinyl-Battleground, Rohm and Haas, Inc., Safety Kleen, Shell Oil Co., Sunoco, Inc. Polyethylene, Texas Molecular, Inc., Vopak, Inc. Railcar Cleaning facility, Dynegy, Inc., Enterprise Products Partners LP, Koch Hydrocarbons, Inc., Channel Shipyard, Houston Marine Services, Dixie Carriers, Glendale Boat Works, Southwest Shipyard, Owens Corning Trumbull Asphalt, Exxon/Mobil Industrial Complex, Natural Gas Odorizing, Bayer Corp., U.S. Filter Recovery Service, Equistar Corp. Channelview Chemical Complex, Celanese Chemical Corp., Dianal America, Dixie Chemical Co., Engelhard Chemical, Goodyear Tire and Rubber Co., Gulf Coast Waste Disposal Authority, Kaneka Corp., LBC Petro United, Lubrizol Corp. Bayport Plant, Odfjell ASA, PPG Industries, Kinder Morgan Galena Park Terminal, Texmark Chemicals, Vopak, Inc. Galena Park, Reichhold Chemical, Inc., Houston Fuel Oil Terminal Co., Haltermann LLC",Jennifer Hasdorf,"Canister, Carbonyl, PAH, RTGC",,2004-07-17,2004-07-23,,
6,El Paso,8/7-13/04,2004-08-01,El Paso,"El Paso Materials, LLC and Border Steel Mills, Inc.",Tom Randolph,"Carbonyl, PAH, PM10, TSP, VOC",,2004-08-07,2004-08-13,,
12,Houston,10/3-7/04,2004-10-01,Texas City,"Gulf Coast Waste Disposal Authority 40-Acre Facility, Black Marlin Pipeline Co.,/Williams Co., BP Oil Co., Oil Tanking LP, Stan Trans Marine Terminal, Inc., Sterling Chem. Co., Dow Chem. Co., Valero Refining Co.",Jason Ivy,"Carbonyl, H2S,  PAH, SO2, VOC",,2004-10-03,2004-10-07,,
14,Corpus,11/14-19/04,2004-11-01,"Corpus, Robstown, Bishop, Gregory, Point Comfort, and Seadrift","Celanese Corp./BASF Corp./Ticona Polymers-Bishop Facility, Citgo Refining & Chem. Co. East, Citgo Refining & Chem. Co. West, City of Corpus Christi Allison, Broadway, Greenwood, Laguna Madre, Oso, and Whitecap Wastewater Treatment Facilities, Crosstex Energy Services, Inc. Gregory Gas Plant, Degussa Engineered Carbons LP, Dow Chemical Co./Union Carbide Corp.-Seadrift Operations, Elementis Chromium LP, Equistar Chem. Corp. Flint Hills Resources LP, East and West, Formosa Plastics, Magellan Terminals Holdings LP, Trigeant Petroleum, Inc., Valero Refining Co. LP, East and West",Tom Randolph,"Carbonyl, H2S, PAH, RTS, SO2, VOC",,2004-11-14,2004-11-19,,
