STAFF_REGION,RN_REGION,LEAD_INVESTIGATOR,RN,INVEST_NUM,STATUS_DT,START_DT,END_DT,EQUIP_CATGRY,EQUIP_CAT_DESC,CHECKLIST_NAME,CL_CHK_ITM_COMMENT
REGION 14,R14CORP,SAPACIBL,RN109992107,1996153, 07/30/2024, 07/02/2024, 07/02/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RDAIGLE,RN102523107,1925504, 07/29/2024, 07/16/2024, 07/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,TRIEGER,RN108262403,1994391, 07/29/2024, 06/14/2024, 06/14/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,JROBKENN,RN104046149,1995822, 07/26/2024, 06/25/2024, 06/25/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 01,R01AMA,JMCCORMI,RN100212687,1995535, 07/25/2024, 07/10/2024, 07/10/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,VIGBERAS,RN104046149,2001748, 07/25/2024, 07/23/2024, 07/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 01,R01AMA,ESUENKEL,RN100210517,2001601, 07/24/2024, 05/13/2024, 05/27/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JMALIK,RN105858369,2000934, 07/24/2024, 06/18/2024, 06/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,NSUBEDI,RN104042726,1989971, 07/24/2024, 06/07/2024, 06/07/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,JMALIK,RN102560067,2000588, 07/23/2024, 06/26/2024, 06/26/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,NSUBEDI,RN100222033,1989643, 07/23/2024, 06/28/2024, 06/28/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RMOLINA,RN100238385,1945025, 07/22/2024, 06/18/2024, 06/19/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 11,R11AUST,AUPATTER,RN104051966,1996500, 07/18/2024, 05/09/2024, 05/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,AWEAVER,RN100219211,1989628, 07/18/2024, 07/01/2024, 07/01/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,EWOODS,RN104042726,1987361, 07/18/2024, 07/17/2024, 07/17/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,RMOLINA,RN104042726,1994035, 07/18/2024, 05/23/2024, 05/23/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 11,R11AUST,GQUIROZ,RN100542752,2000229, 07/17/2024, 06/07/2024, 06/07/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,JJULIEN,RN111985818,1972417, 07/17/2024, 03/11/2024, 05/22/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,JOCTAYLO,RN109992107,2000559, 07/17/2024, 07/08/2024, 07/08/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 03,R03ABIL,KROWE,RN102511490,1995845, 07/16/2024, 06/13/2024, 06/13/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 02,R02LUBK,SCOLEY,RN106516875,1967170, 07/15/2024, 02/12/2024, 02/16/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,38-mm lens
REGION 04,R04DFW,ORIGSBY,RN105227763,1987503, 07/15/2024, 05/10/2024, 05/10/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,KHALEPES,RN100218973,1982852, 07/12/2024, 05/16/2024, 05/16/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,DMAINALI,RN102584844,1995156, 07/11/2024, 06/18/2024, 06/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 07,R07MIDL,MIKHAN,RN109768622,1988769, 07/10/2024, 05/13/2024, 05/13/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 10,R10BEAU,WGRAHAM,RN105818686,1975298, 07/10/2024, 11/08/2023, 02/22/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 15,R15HARL,MICFLORE,RN111979597,1974428, 07/10/2024, 02/15/2024, 02/29/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,320
REGION 01,R01AMA,ESUENKEL,RN100209659,1994942, 07/03/2024, 06/18/2024, 06/18/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 01,R01AMA,TOGLE,RN105609002,1995179, 07/03/2024, 05/21/2024, 05/21/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 10,R10BEAU,PBLANTON,RN101514164,1983598, 07/03/2024, 05/08/2024, 05/08/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,SAMRAMOS,RN106398795,1976651, 07/03/2024, 05/10/2024, 05/10/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 14,R14CORP,JOCTAYLO,RN106082886,1987275, 07/03/2024, 05/20/2024, 05/20/2024,OGIC,OGIC#FLIR Systems GF620 Model OGIC,AIR EQUIPMENT,
REGION 12,R12HOUS,VIGBERAS,RN104046008,1995882, 07/02/2024, 06/28/2024, 06/28/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
REGION 04,R04DFW,DMAINALI,RN105670764,1989403, 07/01/2024, 05/21/2024, 05/21/2024,OGIC,OGIC#FLIR Systems GF320 Model OGIC,AIR EQUIPMENT,
